"Metabolite","Display_name","Degree","Strength","Betweenness","Component","Community","Isolate","Hub_label"
"Aspartate","Aspartate",6,1.4313555575203,0.0141514648977336,1,3,FALSE,""
"Guanidinoacetate","Guanidinoacetate",5,1.17171184097797,0.0236594803758983,1,4,FALSE,""
"Glutamine","Glutamine",4,0.841451229117551,0.00541735765616363,1,3,FALSE,""
"Glutamate","Glutamate",6,1.37276146553843,0.0211166390270868,1,5,FALSE,""
"Pyroglutamine","Pyroglutamine",3,0.712878319174264,0.0105030403537866,1,1,FALSE,""
"Cysteine_glutathione_disulfide","Cysteine glutathione disulfide",6,1.42673933133816,0.0223327805417358,1,6,FALSE,""
"Cys_gly_oxidized","Cys gly oxidized",1,0.213344557846588,0,1,1,FALSE,""
"Pipecolate","Pipecolate",4,0.92952651419596,0.00862354892205638,1,5,FALSE,""
"S_adenosylhomocysteine","S adenosylhomocysteine",7,1.62870736546399,0.021779988944168,1,3,FALSE,""
"N_acetyltaurine","N acetyltaurine",6,1.40080096746672,0.0241017136539525,1,3,FALSE,""
"Hydroxybutyrate_hydroxyisobutyrate_2","Hydroxybutyrate hydroxyisobutyrate 2",5,1.0671929734315,0.0110558319513543,1,3,FALSE,""
"Taurine","Taurine",7,1.64062702461261,0.0199004975124378,1,9,FALSE,""
"N_acetylmethionine","N acetylmethionine",5,1.17974518386841,0.0137092316196794,1,2,FALSE,""
"Bromotryptophan_5","Bromotryptophan 5",3,0.673693752831856,0.00309563294637922,1,9,FALSE,""
"Citrulline","Citrulline",5,1.2283706959577,0.0149253731343284,1,3,FALSE,""
"Erythronate","Erythronate",4,0.928473725936719,0.00972913211719182,1,10,FALSE,""
"Mannose","Mannose",4,0.903788652866549,0.00884466556108347,1,8,FALSE,""
"Fructose","Fructose",4,0.860707895575629,0.00453289110005528,1,1,FALSE,""
"Anhydroglucitol_1_5","Anhydroglucitol 1 5",4,0.915748714114978,0.0025428413488115,1,6,FALSE,""
"Glucose","Glucose",5,1.21534359676907,0.0187949143173024,1,2,FALSE,""
"Ribonate","Ribonate",4,0.959291094333568,0.0144831398562742,1,10,FALSE,""
"Arabonate_xylonate","Arabonate xylonate",3,0.691901776097897,0.00552791597567717,1,2,FALSE,""
"Oxalate","Oxalate",2,0.469330156356979,0.00110558319513543,1,4,FALSE,""
"Malate","Malate",2,0.536493405946907,0.00497512437810945,1,6,FALSE,""
"Palmitoyl_linoleoyl_glycerol","Palmitoyl linoleoyl glycerol",3,0.75563450326424,0.0145936981757877,1,1,FALSE,""
"Palmitoylcholine","Palmitoylcholine",5,1.21412422979713,0.0320619126589276,1,1,FALSE,""
"Hydroxydecanoate_3","Hydroxydecanoate 3",5,1.16900147010125,0.0108347153123273,1,9,FALSE,""
"Hydroxyoctanoate_3","Hydroxyoctanoate 3",5,1.10675779905933,0.0118297401879491,1,9,FALSE,""
"Hydroxymyristate_3","Hydroxymyristate 3",4,0.971862309803611,0.00807075732448867,1,9,FALSE,""
"Hydroxylaurate_3","Hydroxylaurate 3",3,0.659199372800631,0.00574903261470426,1,7,FALSE,""
"Hydroxybutyrate_3","Hydroxybutyrate 3",7,1.46649104746624,0.0306246545052515,1,1,FALSE,""
"Linoleoyl_GPC","Linoleoyl GPC",3,0.797186569298735,0.00972913211719182,1,7,FALSE,""
"Stearoyl_GPC","Stearoyl GPC",7,1.86737027288367,0.0520729684908789,1,4,FALSE,""
"Stearoyl_GPI","Stearoyl GPI",5,1.14473164865172,0.0220011055831951,1,3,FALSE,""
"Enyl_palmitoyl_GPC","Enyl palmitoyl GPC",4,0.910166461768898,0.0111663902708679,1,8,FALSE,""
"Enyl_oleoyl_GPE","Enyl oleoyl GPE",7,1.49878142093056,0.0135986733001658,1,10,FALSE,""
"Enyl_palmitoyl_GPE","Enyl palmitoyl GPE",8,1.87856314074971,0.0351575456053068,1,6,FALSE,"Enyl palmitoyl GPE"
